Sender Identifier: regionB
Poll interval: 100ms
"Start Time:java.util.GregorianCalendar[time=1304425788213,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=""UTC"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2011,MONTH=4,WEEK_OF_YEAR=19,WEEK_OF_MONTH=1,DAY_OF_MONTH=3,DAY_OF_YEAR=123,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=0,HOUR_OF_DAY=12,MINUTE=29,SECOND=48,MILLISECOND=213,ZONE_OFFSET=0,DST_OFFSET=0]"
Data format: Time in millis: File content on S3
1304425873269:8 1304425862208
1304425873385:8 1304425862208
1304425873497:8 1304425862208
1304425873613:8 1304425862208
1304425873725:8 1304425862208
1304425873845:9 1304425873126
1304425873993:9 1304425873126
1304425874133:9 1304425873126
1304425874245:9 1304425873126
1304425874361:9 1304425873126
1304425874473:9 1304425873126
1304425874585:9 1304425873126
1304425874697:9 1304425873126
1304425874813:9 1304425873126
1304425875009:9 1304425873126
1304425875125:9 1304425873126
1304425875237:9 1304425873126
1304425875357:9 1304425873126
1304425875469:9 1304425873126
1304425875585:9 1304425873126
1304425875721:9 1304425873126
1304425875833:9 1304425873126
1304425875949:9 1304425873126
1304425876065:9 1304425873126
1304425876177:9 1304425873126
1304425876293:9 1304425873126
1304425876413:9 1304425873126
1304425876533:9 1304425873126
1304425876645:9 1304425873126
1304425876769:9 1304425873126
1304425876881:9 1304425873126
1304425876993:9 1304425873126
1304425877105:9 1304425873126
1304425877217:9 1304425873126
1304425877333:9 1304425873126
1304425877445:9 1304425873126
1304425877561:9 1304425873126
1304425877677:9 1304425873126
1304425877793:9 1304425873126
1304425877909:9 1304425873126
1304425878025:9 1304425873126
1304425878137:9 1304425873126
1304425878257:9 1304425873126
1304425878417:9 1304425873126
1304425878529:9 1304425873126
1304425878645:9 1304425873126
1304425878757:9 1304425873126
1304425878869:9 1304425873126
1304425878981:9 1304425873126
1304425879201:9 1304425873126
1304425879317:9 1304425873126
1304425879429:9 1304425873126
1304425879545:9 1304425873126
1304425879729:9 1304425873126
1304425879841:9 1304425873126
1304425879957:9 1304425873126
1304425880117:9 1304425873126
1304425880229:9 1304425873126
1304425880341:9 1304425873126
1304425880457:9 1304425873126
1304425880577:9 1304425873126
1304425880697:9 1304425873126
1304425880813:9 1304425873126
1304425880929:9 1304425873126
1304425881049:9 1304425873126
1304425881165:9 1304425873126
1304425881373:9 1304425873126
1304425881485:9 1304425873126
1304425881601:9 1304425873126
1304425881721:9 1304425873126
1304425881841:9 1304425873126
1304425881957:9 1304425873126
1304425882069:9 1304425873126
1304425882181:9 1304425873126
1304425882297:9 1304425873126
1304425882413:9 1304425873126
1304425882533:9 1304425873126
1304425882645:9 1304425873126
1304425882757:9 1304425873126
1304425882873:9 1304425873126
1304425882985:9 1304425873126
1304425883097:9 1304425873126
1304425883209:9 1304425873126
1304425883325:9 1304425873126
1304425883437:9 1304425873126
1304425883553:9 1304425873126
1304425883673:9 1304425873126
1304425883785:9 1304425873126
1304425883901:9 1304425873126
1304425884013:9 1304425873126
1304425884125:9 1304425873126
1304425884237:9 1304425873126
1304425884349:9 1304425873126
1304425884461:9 1304425873126
1304425884577:9 1304425873126
1304425884690:10 1304425884383
1304425884806:10 1304425884383
1304425884918:10 1304425884383
1304425885034:10 1304425884383
1304425885150:10 1304425884383
1304425885262:10 1304425884383
1304425885390:10 1304425884383
1304425885502:10 1304425884383
1304425885614:10 1304425884383
1304425885730:10 1304425884383
1304425885842:10 1304425884383
1304425885958:10 1304425884383
1304425886074:10 1304425884383
1304425886202:10 1304425884383
1304425886314:10 1304425884383
1304425886426:10 1304425884383
1304425886542:10 1304425884383
1304425886658:10 1304425884383
1304425886770:10 1304425884383
1304425886886:10 1304425884383
1304425886998:10 1304425884383
1304425887114:10 1304425884383
1304425887226:10 1304425884383
1304425887338:10 1304425884383
1304425887454:10 1304425884383
1304425887570:10 1304425884383
1304425887690:10 1304425884383
1304425887802:10 1304425884383
1304425887918:10 1304425884383
1304425888030:10 1304425884383
1304425888142:10 1304425884383
1304425888278:10 1304425884383
1304425888390:10 1304425884383
1304425888502:10 1304425884383
1304425888614:10 1304425884383
1304425888726:10 1304425884383
1304425888838:10 1304425884383
1304425888950:10 1304425884383
1304425889650:10 1304425884383
1304425889766:10 1304425884383
1304425889878:10 1304425884383
1304425889990:10 1304425884383
1304425890102:10 1304425884383
1304425890214:10 1304425884383
1304425890330:10 1304425884383
1304425890442:10 1304425884383
1304425890566:10 1304425884383
1304425890682:10 1304425884383
1304425890794:10 1304425884383
1304425890910:10 1304425884383
1304425891042:10 1304425884383
1304425891158:10 1304425884383
1304425891274:10 1304425884383
1304425891386:10 1304425884383
1304425891502:10 1304425884383
1304425891622:10 1304425884383
1304425891738:10 1304425884383
1304425891850:10 1304425884383
1304425891962:10 1304425884383
1304425892102:10 1304425884383
1304425892214:10 1304425884383
1304425892326:10 1304425884383
1304425892438:10 1304425884383
1304425892550:10 1304425884383
1304425892662:10 1304425884383
1304425892786:10 1304425884383
1304425892906:10 1304425884383
1304425893126:10 1304425884383
1304425893246:10 1304425884383
1304425893430:10 1304425884383
1304425893546:10 1304425884383
1304425893658:10 1304425884383
1304425893770:10 1304425884383
1304425893882:10 1304425884383
1304425893998:10 1304425884383
1304425894114:10 1304425884383
1304425894226:10 1304425884383
1304425894346:10 1304425884383
1304425894462:10 1304425884383
1304425894582:10 1304425884383
1304425894698:10 1304425884383
1304425894810:10 1304425884383
1304425894942:10 1304425884383
1304425895062:10 1304425884383
1304425895174:10 1304425884383
1304425895286:10 1304425884383
1304425895398:10 1304425884383
1304425895514:10 1304425884383
1304425895630:11 1304425895237
1304425895954:11 1304425895237
1304425896078:11 1304425895237
1304425896198:11 1304425895237
1304425896310:11 1304425895237
1304425896422:11 1304425895237
1304425896534:11 1304425895237
1304425896650:11 1304425895237
1304425896762:11 1304425895237
1304425896878:11 1304425895237
1304425896998:11 1304425895237
1304425897118:11 1304425895237
1304425897238:11 1304425895237
1304425897350:11 1304425895237
1304425897462:11 1304425895237
1304425897578:11 1304425895237
1304425897690:11 1304425895237
1304425897810:11 1304425895237
1304425897922:11 1304425895237
1304425898038:11 1304425895237
