Sender Identifier: cmon1
Poll interval: 10ms
Start Time:java.util.GregorianCalendar[time=1314979241978,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="UTC",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=2,minimalDaysInFirstWeek=4,ERA=1,YEAR=2011,MONTH=8,WEEK_OF_YEAR=35,WEEK_OF_MONTH=1,DAY_OF_MONTH=2,DAY_OF_YEAR=245,DAY_OF_WEEK=6,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=4,HOUR_OF_DAY=16,MINUTE=0,SECOND=41,MILLISECOND=978,ZONE_OFFSET=0,DST_OFFSET=0]
Data format: Time in millis: File content on monitored storage system
1314979251067:4 1314979249819
1314979251084:4 1314979249819
1314979251097:4 1314979249819
1314979251113:4 1314979249819
1314979251125:4 1314979249819
1314979251142:4 1314979249819
1314979251155:4 1314979249819
1314979251193:4 1314979249819
1314979251206:4 1314979249819
1314979251219:4 1314979249819
1314979251231:4 1314979249819
1314979251244:4 1314979249819
1314979251257:4 1314979249819
1314979251269:4 1314979249819
1314979251281:4 1314979249819
1314979251294:4 1314979249819
1314979251308:4 1314979249819
1314979251320:4 1314979249819
1314979251333:4 1314979249819
1314979251347:4 1314979249819
1314979251361:4 1314979249819
1314979251376:4 1314979249819
1314979251399:4 1314979249819
1314979251413:4 1314979249819
1314979251427:4 1314979249819
1314979251440:4 1314979249819
1314979251453:4 1314979249819
1314979251470:4 1314979249819
1314979251486:4 1314979249819
1314979251500:4 1314979249819
1314979251512:4 1314979249819
1314979251525:4 1314979249819
1314979251538:4 1314979249819
1314979251551:4 1314979249819
1314979251563:4 1314979249819
1314979251576:4 1314979249819
1314979251589:4 1314979249819
1314979251601:4 1314979249819
1314979251616:4 1314979249819
1314979251629:4 1314979249819
1314979251642:4 1314979249819
1314979251654:4 1314979249819
1314979251667:4 1314979249819
1314979251680:4 1314979249819
1314979251693:4 1314979249819
1314979251706:4 1314979249819
1314979251719:4 1314979249819
1314979251731:4 1314979249819
1314979251744:4 1314979249819
1314979251757:4 1314979249819
1314979251769:4 1314979249819
1314979251782:4 1314979249819
1314979251794:4 1314979249819
1314979251807:4 1314979249819
1314979251820:4 1314979249819
1314979251832:4 1314979249819
1314979251848:4 1314979249819
1314979251861:4 1314979249819
1314979251874:4 1314979249819
1314979251887:4 1314979249819
1314979251899:4 1314979249819
1314979251912:4 1314979249819
1314979251925:4 1314979249819
1314979251937:4 1314979249819
1314979251950:4 1314979249819
1314979251962:4 1314979249819
1314979251975:4 1314979249819
1314979251988:4 1314979249819
1314979252000:4 1314979249819
1314979252013:4 1314979249819
1314979252025:4 1314979249819
1314979252037:4 1314979249819
1314979252049:4 1314979249819
1314979252062:4 1314979249819
1314979252075:4 1314979249819
1314979252088:4 1314979249819
1314979252100:4 1314979249819
1314979252113:4 1314979249819
1314979252129:4 1314979249819
1314979252142:4 1314979249819
1314979252153:4 1314979249819
1314979252166:4 1314979249819
1314979252179:4 1314979249819
1314979252191:4 1314979249819
1314979252204:4 1314979249819
1314979252217:4 1314979249819
1314979252230:4 1314979249819
1314979252242:4 1314979249819
1314979252255:4 1314979249819
1314979252268:4 1314979249819
1314979252280:4 1314979249819
1314979252293:4 1314979249819
1314979252309:4 1314979249819
1314979252322:4 1314979249819
1314979252335:4 1314979249819
1314979252348:4 1314979249819
1314979252361:4 1314979249819
1314979252374:4 1314979249819
1314979252387:4 1314979249819
1314979252400:4 1314979249819
1314979252413:4 1314979249819
1314979252425:4 1314979249819
1314979252438:4 1314979249819
1314979252453:4 1314979249819
1314979252466:4 1314979249819
1314979252479:4 1314979249819
1314979252492:4 1314979249819
1314979252507:4 1314979249819
1314979252522:4 1314979249819
1314979252544:4 1314979249819
1314979252556:4 1314979249819
1314979252569:4 1314979249819
1314979252582:4 1314979249819
1314979252595:4 1314979249819
1314979252609:4 1314979249819
1314979252624:4 1314979249819
1314979252638:4 1314979249819
1314979252651:4 1314979249819
1314979252664:4 1314979249819
1314979252676:4 1314979249819
1314979252688:4 1314979249819
1314979252701:4 1314979249819
1314979252714:4 1314979249819
1314979252726:4 1314979249819
1314979252739:4 1314979249819
1314979252752:4 1314979249819
1314979252763:4 1314979249819
1314979252777:4 1314979249819
1314979252791:4 1314979249819
1314979252804:4 1314979249819
1314979252817:4 1314979249819
1314979252830:4 1314979249819
1314979252842:4 1314979249819
1314979252855:4 1314979249819
1314979252867:4 1314979249819
1314979252880:4 1314979249819
1314979252893:4 1314979249819
1314979252912:4 1314979249819
1314979252925:4 1314979249819
1314979252938:4 1314979249819
1314979252950:4 1314979249819
1314979252962:4 1314979249819
1314979252975:4 1314979249819
1314979252987:4 1314979249819
1314979253000:4 1314979249819
1314979253013:4 1314979249819
1314979253027:4 1314979249819
1314979253040:4 1314979249819
1314979253053:4 1314979249819
1314979253065:4 1314979249819
1314979253078:4 1314979249819
1314979253091:4 1314979249819
1314979253105:4 1314979249819
1314979253118:4 1314979249819
1314979253132:4 1314979249819
1314979253143:4 1314979249819
1314979253157:4 1314979249819
1314979253169:4 1314979249819
1314979253182:4 1314979249819
1314979253195:4 1314979249819
1314979253208:4 1314979249819
1314979253220:4 1314979249819
1314979253233:4 1314979249819
1314979253245:4 1314979249819
1314979253260:4 1314979249819
1314979253273:4 1314979249819
1314979253286:4 1314979249819
1314979253299:4 1314979249819
1314979253310:4 1314979249819
1314979253323:4 1314979249819
1314979253336:4 1314979249819
1314979253349:4 1314979249819
1314979253362:4 1314979249819
1314979253374:4 1314979249819
1314979253390:4 1314979249819
1314979253404:4 1314979249819
1314979253416:4 1314979249819
1314979253429:4 1314979249819
1314979253441:4 1314979249819
